Q_idx,pred,real,usage,Correct_Ans
0,B,B,"{'total_duration': 23670925021, 'load_duration': 47200436, 'prompt_eval_count': 533, 'prompt_eval_duration': 127167195, 'eval_count': 1416, 'eval_duration': 23471593512}",1
1,<,D,"{'total_duration': 33448370250, 'load_duration': 36181784, 'prompt_eval_count': 494, 'prompt_eval_duration': 116927249, 'eval_count': 2000, 'eval_duration': 33266268437}",0
2,B,B,"{'total_duration': 14495027170, 'load_duration': 46002349, 'prompt_eval_count': 693, 'prompt_eval_duration': 283460647, 'eval_count': 851, 'eval_duration': 14140288544}",1
3,B,D,"{'total_duration': 21663431638, 'load_duration': 34636420, 'prompt_eval_count': 687, 'prompt_eval_duration': 290109206, 'eval_count': 1275, 'eval_duration': 21310010911}",0
4,B,B,"{'total_duration': 6916951630, 'load_duration': 44027125, 'prompt_eval_count': 568, 'prompt_eval_duration': 227544572, 'eval_count': 412, 'eval_duration': 6629798572}",1
5,B,D,"{'total_duration': 18338199541, 'load_duration': 45850385, 'prompt_eval_count': 503, 'prompt_eval_duration': 108280176, 'eval_count': 1094, 'eval_duration': 18160638060}",0
6,C,C,"{'total_duration': 22560514137, 'load_duration': 35333197, 'prompt_eval_count': 494, 'prompt_eval_duration': 113329612, 'eval_count': 1354, 'eval_duration': 22391064982}",1
7,C,C,"{'total_duration': 8201468966, 'load_duration': 37344245, 'prompt_eval_count': 582, 'prompt_eval_duration': 236995400, 'eval_count': 487, 'eval_duration': 7899510946}",1
8,B,B,"{'total_duration': 10336038391, 'load_duration': 55941040, 'prompt_eval_count': 534, 'prompt_eval_duration': 119097332, 'eval_count': 622, 'eval_duration': 10138809373}",1
9,A,A,"{'total_duration': 22093566361, 'load_duration': 46915471, 'prompt_eval_count': 480, 'prompt_eval_duration': 115289773, 'eval_count': 1335, 'eval_duration': 21910119198}",1
10,D,D,"{'total_duration': 16014097869, 'load_duration': 48741254, 'prompt_eval_count': 643, 'prompt_eval_duration': 272987399, 'eval_count': 956, 'eval_duration': 15675647535}",1
11,D,D,"{'total_duration': 17576439339, 'load_duration': 41891325, 'prompt_eval_count': 649, 'prompt_eval_duration': 270131779, 'eval_count': 1052, 'eval_duration': 17249825031}",1
12,T,B,"{'total_duration': 33399978980, 'load_duration': 45895712, 'prompt_eval_count': 499, 'prompt_eval_duration': 122282572, 'eval_count': 2000, 'eval_duration': 33212837938}",0
13,D,D,"{'total_duration': 20385874304, 'load_duration': 47438488, 'prompt_eval_count': 527, 'prompt_eval_duration': 235234036, 'eval_count': 1227, 'eval_duration': 20081952055}",1
14,T,C,"{'total_duration': 33744299726, 'load_duration': 41045831, 'prompt_eval_count': 525, 'prompt_eval_duration': 114257570, 'eval_count': 2000, 'eval_duration': 33573078215}",0
15,D,B,"{'total_duration': 18478654920, 'load_duration': 45406162, 'prompt_eval_count': 572, 'prompt_eval_duration': 243070136, 'eval_count': 1105, 'eval_duration': 18163832708}",0
16,D,D,"{'total_duration': 10796151867, 'load_duration': 50893727, 'prompt_eval_count': 601, 'prompt_eval_duration': 239355165, 'eval_count': 651, 'eval_duration': 10489812042}",1
17,D,D,"{'total_duration': 8756670064, 'load_duration': 44080366, 'prompt_eval_count': 580, 'prompt_eval_duration': 230303115, 'eval_count': 523, 'eval_duration': 8467007438}",1
18,B,B,"{'total_duration': 10552844488, 'load_duration': 34306786, 'prompt_eval_count': 601, 'prompt_eval_duration': 234007991, 'eval_count': 629, 'eval_duration': 10260045521}",1
19,B,D,"{'total_duration': 9030912042, 'load_duration': 36735861, 'prompt_eval_count': 546, 'prompt_eval_duration': 122377320, 'eval_count': 542, 'eval_duration': 8842886117}",0
20,C,C,"{'total_duration': 6916901050, 'load_duration': 37984465, 'prompt_eval_count': 578, 'prompt_eval_duration': 234223658, 'eval_count': 410, 'eval_duration': 6619179566}",1
21,A,A,"{'total_duration': 8101665743, 'load_duration': 38092376, 'prompt_eval_count': 539, 'prompt_eval_duration': 123152863, 'eval_count': 484, 'eval_duration': 7916144913}",1
22,C,C,"{'total_duration': 8547626355, 'load_duration': 33165260, 'prompt_eval_count': 608, 'prompt_eval_duration': 231548614, 'eval_count': 511, 'eval_duration': 8260736104}",1
23,A,D,"{'total_duration': 13873816365, 'load_duration': 37804010, 'prompt_eval_count': 617, 'prompt_eval_duration': 276990512, 'eval_count': 821, 'eval_duration': 13542831024}",0
24,A,A,"{'total_duration': 20547735092, 'load_duration': 33875675, 'prompt_eval_count': 701, 'prompt_eval_duration': 280989744, 'eval_count': 1216, 'eval_duration': 20208643537}",1
25,D,D,"{'total_duration': 8517844308, 'load_duration': 40759084, 'prompt_eval_count': 472, 'prompt_eval_duration': 108592432, 'eval_count': 514, 'eval_duration': 8352603878}",1
26,D,D,"{'total_duration': 7957027640, 'load_duration': 55788026, 'prompt_eval_count': 572, 'prompt_eval_duration': 231563889, 'eval_count': 474, 'eval_duration': 7648425314}",1
27,A,A,"{'total_duration': 6244472952, 'load_duration': 39029465, 'prompt_eval_count': 602, 'prompt_eval_duration': 232713916, 'eval_count': 371, 'eval_duration': 5957823433}",1
28,D,D,"{'total_duration': 12485516985, 'load_duration': 36909865, 'prompt_eval_count': 670, 'prompt_eval_duration': 286309015, 'eval_count': 733, 'eval_duration': 12135699492}",1
29,A,C,"{'total_duration': 9626079796, 'load_duration': 42215860, 'prompt_eval_count': 569, 'prompt_eval_duration': 240542921, 'eval_count': 574, 'eval_duration': 9321275179}",0
