Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'total_duration': 13586655618, 'load_duration': 5286210287, 'prompt_eval_count': 233, 'prompt_eval_duration': 870836927, 'eval_count': 439, 'eval_duration': 7410706968}",0
1,D,D,"{'total_duration': 19576346762, 'load_duration': 36437395, 'prompt_eval_count': 194, 'prompt_eval_duration': 74738837, 'eval_count': 1186, 'eval_duration': 19444613863}",1
2,B,B,"{'total_duration': 8575903025, 'load_duration': 39128603, 'prompt_eval_count': 393, 'prompt_eval_duration': 109995078, 'eval_count': 513, 'eval_duration': 8402506389}",1
3,B,D,"{'total_duration': 24498488920, 'load_duration': 43924775, 'prompt_eval_count': 387, 'prompt_eval_duration': 99417784, 'eval_count': 1463, 'eval_duration': 24331881617}",0
4,B,B,"{'total_duration': 6659975401, 'load_duration': 43680360, 'prompt_eval_count': 268, 'prompt_eval_duration': 82293257, 'eval_count': 390, 'eval_duration': 6510272581}",1
5,T,D,"{'total_duration': 33154955549, 'load_duration': 33069055, 'prompt_eval_count': 203, 'prompt_eval_duration': 69945162, 'eval_count': 2000, 'eval_duration': 33040764651}",0
6,C,C,"{'total_duration': 12758738621, 'load_duration': 48705568, 'prompt_eval_count': 194, 'prompt_eval_duration': 72543301, 'eval_count': 773, 'eval_duration': 12621721561}",1
7,C,C,"{'total_duration': 9459578728, 'load_duration': 35910871, 'prompt_eval_count': 282, 'prompt_eval_duration': 93103696, 'eval_count': 575, 'eval_duration': 9317980503}",1
8,B,B,"{'total_duration': 7427510934, 'load_duration': 39381227, 'prompt_eval_count': 234, 'prompt_eval_duration': 77701810, 'eval_count': 461, 'eval_duration': 7290287272}",1
9,A,A,"{'total_duration': 10249284935, 'load_duration': 32828458, 'prompt_eval_count': 180, 'prompt_eval_duration': 74265266, 'eval_count': 624, 'eval_duration': 10122256982}",1
10,D,D,"{'total_duration': 13404581205, 'load_duration': 34867773, 'prompt_eval_count': 343, 'prompt_eval_duration': 96272846, 'eval_count': 823, 'eval_duration': 13250892478}",1
11,D,D,"{'total_duration': 10206061090, 'load_duration': 37376092, 'prompt_eval_count': 349, 'prompt_eval_duration': 89661077, 'eval_count': 615, 'eval_duration': 10066460200}",1
12,B,B,"{'total_duration': 6747366530, 'load_duration': 35729339, 'prompt_eval_count': 199, 'prompt_eval_duration': 82046876, 'eval_count': 405, 'eval_duration': 6606936458}",1
13,D,D,"{'total_duration': 14896394826, 'load_duration': 32979031, 'prompt_eval_count': 227, 'prompt_eval_duration': 72215393, 'eval_count': 915, 'eval_duration': 14768531662}",1
14,C,C,"{'total_duration': 27265868838, 'load_duration': 39649362, 'prompt_eval_count': 225, 'prompt_eval_duration': 80757872, 'eval_count': 1642, 'eval_duration': 27124372853}",1
15,D,B,"{'total_duration': 25176222645, 'load_duration': 41885727, 'prompt_eval_count': 272, 'prompt_eval_duration': 91927140, 'eval_count': 1528, 'eval_duration': 25016845265}",0
16,D,D,"{'total_duration': 12264056362, 'load_duration': 43655223, 'prompt_eval_count': 301, 'prompt_eval_duration': 96944139, 'eval_count': 729, 'eval_duration': 12099741435}",1
17,D,D,"{'total_duration': 6056414173, 'load_duration': 41180108, 'prompt_eval_count': 280, 'prompt_eval_duration': 89594222, 'eval_count': 351, 'eval_duration': 5910996018}",1
18,B,B,"{'total_duration': 11603773155, 'load_duration': 36987380, 'prompt_eval_count': 301, 'prompt_eval_duration': 89076942, 'eval_count': 696, 'eval_duration': 11465139406}",1
19,B,D,"{'total_duration': 4281302599, 'load_duration': 44003903, 'prompt_eval_count': 246, 'prompt_eval_duration': 79907744, 'eval_count': 250, 'eval_duration': 4142824403}",0
20,C,C,"{'total_duration': 21465089645, 'load_duration': 38802521, 'prompt_eval_count': 278, 'prompt_eval_duration': 94636123, 'eval_count': 1306, 'eval_duration': 21318722903}",1
21,A,A,"{'total_duration': 23299867390, 'load_duration': 35093570, 'prompt_eval_count': 239, 'prompt_eval_duration': 92504264, 'eval_count': 1420, 'eval_duration': 23146790015}",1
22,C,C,"{'total_duration': 8723823081, 'load_duration': 35304108, 'prompt_eval_count': 308, 'prompt_eval_duration': 91294315, 'eval_count': 533, 'eval_duration': 8572946997}",1
